from,to,d,EF
Greenhouses,Extensive grasslands,3,-0.22121260788908254
Greenhouses,Extensive grasslands,4,-0.21190055017441167
Greenhouses,Extensive grasslands,5,-0.56938661083369557
Greenhouses,Extensive grasslands,6,-0.30339936407643259
Greenhouses,Extensive grasslands,7,-0.25069301356042967
Greenhouses,Extensive grasslands,8,-0.17374129697009708
Greenhouses,Nature,0,-9999.0
Greenhouses,Nature,1,-0.50118757215103249
Greenhouses,Nature,2,-0.35758930760807722
Greenhouses,Nature,3,-0.22099554540561336
Greenhouses,Nature,4,-0.22400313997129734
Greenhouses,Nature,5,-0.14265222753653631
Greenhouses,Nature,6,-0.18626657322607601
Greenhouses,Nature,7,-0.12089437488673702
Greenhouses,Nature,8,-0.097564485380764746
Greenhouses,Recreation areas,0,-0.85906646680513621
Greenhouses,Recreation areas,1,-0.30579042066803686
Greenhouses,Recreation areas,2,-0.18583338928977639
Greenhouses,Recreation areas,3,-0.1846967929728125
Greenhouses,Recreation areas,4,-0.10596815888807676
Greenhouses,Recreation areas,5,-0.062133127915731667
Greenhouses,Recreation areas,6,-0.031681919917467001
Greenhouses,Recreation areas,7,-0.042461391589251211
Greenhouses,Recreation areas,8,0.00086395534525712163
Housing low density,Greenhouses,0,-0.54208944673961479
Housing low density,Greenhouses,1,-0.18193799895697693
Housing low density,Greenhouses,2,-0.092231638802083835
Housing low density,Greenhouses,3,-0.055919569517405787
Housing low density,Greenhouses,4,0.027742886253075066
Housing low density,Greenhouses,5,0.042174011518038255
Housing low density,Greenhouses,6,0.009620537665455434
Housing low density,Greenhouses,7,-0.024023389642257885
Housing low density,Greenhouses,8,0.020475459929736095
Housing low density,Housing low density,0,-9999.0
Housing low density,Housing low density,1,0.48049239988205961
Housing low density,Housing low density,2,0.39610308657065613
Housing low density,Housing low density,3,0.31167072500320453
Housing low density,Housing low density,4,0.21263464003756885
Housing low density,Housing low density,5,0.12294836088800014
Housing low density,Housing low density,6,0.099933978916322344
Housing low density,Housing low density,7,0.077300438559271614
Housing low density,Housing low density,8,0.067722204197877833
Housing low density,Housing high density,0,-9999.0
Housing low density,Housing high density,1,0.48894632139024485
Housing low density,Housing high density,2,0.43322903878683128
Housing low density,Housing high density,3,0.32751200200929398
Housing low density,Housing high density,4,0.2610585222240745
Housing low density,Housing high density,5,0.23743957406100288
Housing low density,Housing high density,6,0.18256576293734786
Housing low density,Housing high density,7,0.13468316182244489
Housing low density,Housing high density,8,0.13571509760512954
Housing low density,Industry,0,-0.13542586966272022
Housing low density,Industry,1,0.12194195524624903
Housing low density,Industry,2,0.19954337773468681
Housing low density,Industry,3,0.20763673069586303
Housing low density,Industry,4,0.18206800338519177
Housing low density,Industry,5,0.12682923826929771
Housing low density,Industry,6,0.10270298341951016
Housing low density,Industry,7,0.079909013163424178
Housing low density,Industry,8,0.070649455491252261
Housing low density,Services,0,0.57502395235672854
Housing low density,Services,1,0.51596712258502608
Housing low density,Services,2,0.50116810066148254
Housing low density,Services,3,0.46696386422388042
Housing low density,Services,4,0.34751421522154657
Housing low density,Services,5,0.25149522641014421
Housing low density,Services,6,0.15820079564596864
Housing low density,Services,7,0.12641341553495367
Housing low density,Services,8,0.1535086379218758
Housing low density,Socio cultural uses,0,0.47811393934867219
Housing low density,Socio cultural uses,1,0.53345130791900408
Housing low density,Socio cultural uses,2,0.50285630721672314
Housing low density,Socio cultural uses,3,0.41138791057860341
Housing low density,Socio cultural uses,4,0.31278766372604866
Housing low density,Socio cultural uses,5,0.24187533888246224
Housing low density,Socio cultural uses,6,0.20129108498052015
Housing low density,Socio cultural uses,7,0.15907435830322256
Housing low density,Socio cultural uses,8,0.14172704850882373
Housing low density,Forest,0,-0.56813960435777044
Housing low density,Forest,1,-0.23570114444216506
Housing low density,Forest,2,-0.094247319768306428
Housing low density,Forest,3,0.00616060580274818
Housing low density,Forest,4,0.017802798546535839
Housing low density,Forest,5,0.025772918794833746
Housing low density,Forest,6,0.027374724232119726
Housing low density,Forest,7,0.047785025039655711
Housing low density,Forest,8,0.018579642732237899
Housing low density,Extensive grasslands,0,-9999.0
Housing low density,Extensive grasslands,1,-0.68254034952616227
Housing low density,Extensive grasslands,2,-0.22786043861831051
Housing low density,Extensive grasslands,3,-0.091422718327458435
Housing low density,Extensive grasslands,4,-0.0078300974413907827
Housing low density,Extensive grasslands,5,0.078642350052925761
Housing low density,Extensive grasslands,6,0.06558674149306741
Housing low density,Extensive grasslands,7,-0.0091880862836067716
Housing low density,Extensive grasslands,8,-0.038596684923849128
Housing low density,Nature,0,-0.14686378741526807
Housing low density,Nature,1,-0.10790904781878632
Housing low density,Nature,2,-0.043225405277694369
Housing low density,Nature,3,0.014763800141353214
Housing low density,Nature,4,0.041492651130050899
Housing low density,Nature,5,0.057876615879047445
Housing low density,Nature,6,0.082250283560590373
Housing low density,Nature,7,0.074868450821406363
Housing low density,Nature,8,0.062114740652958668
Housing low density,Recreation areas,0,0.35507861476559133
Housing low density,Recreation areas,1,0.36165483470876975
Housing low density,Recreation areas,2,0.32912484704238804
Housing low density,Recreation areas,3,0.29673686649258157
Housing low density,Recreation areas,4,0.25863164407447198
Housing low density,Recreation areas,5,0.2295915733040457
Housing low density,Recreation areas,6,0.19083400799056938
Housing low density,Recreation areas,7,0.14750728448332726
Housing low density,Recreation areas,8,0.13769845397017885
Housing high density,Greenhouses,0,-9999.0
Housing high density,Greenhouses,1,-0.69365254408217925
Housing high density,Greenhouses,2,-0.34507415023964216
Housing high density,Greenhouses,3,-0.07336272489955098
Housing high density,Greenhouses,4,0.045294028753818674
Housing high density,Greenhouses,5,0.1381432291756608
Housing high density,Greenhouses,6,0.14079506024456806
Housing high density,Greenhouses,7,0.22337246012342032
Housing high density,Greenhouses,8,0.2074337707078176
